Date,Site ID,Latitude,Longitude,pm25,NDVI
2025-12-18,60870007,36.98332,-121.98822,4.5,6257.0246775838095
2025-12-19,60870007,36.98332,-121.98822,6.8,6264.444437373135
2025-12-20,60870007,36.98332,-121.98822,3.2,6264.444437373135
2025-12-21,60870007,36.98332,-121.98822,2.7,6264.444437373135
2025-12-22,60870007,36.98332,-121.98822,3.9,6264.444437373135
2025-12-23,60870007,36.98332,-121.98822,3.7,6264.444437373135
2025-12-24,60870007,36.98332,-121.98822,5.5,6264.444437373135
2025-12-25,60870007,36.98332,-121.98822,8.6,6264.444437373135
2025-12-26,60870007,36.98332,-121.98822,5.9,6264.444437373135
2025-12-27,60870007,36.98332,-121.98822,4.5,6264.444437373135
2025-12-28,60870007,36.98332,-121.98822,4.8,6264.444437373135
2025-12-29,60870007,36.98332,-121.98822,4.4,6264.444437373135
2025-12-30,60870007,36.98332,-121.98822,6.3,6264.444437373135
2025-12-31,60870007,36.98332,-121.98822,6.4,6264.444437373135
